iter	RMSE
0	11.44583805
1	10.88559945
2	10.34382346
3	9.841893233
4	9.362753124
5	8.900787343
6	8.470033531
7	8.052958679
8	7.657477582
9	7.27682246
10	6.926343857
11	6.588617659
12	6.27069615
13	5.961552954
14	5.671661467
15	5.392077032
16	5.125235697
17	4.876848483
18	4.638921599
19	4.415460858
20	4.199397029
21	3.994857619
22	3.797653705
23	3.612366867
24	3.434011321
25	3.26595903
26	3.108265731
27	2.956119707
28	2.812663185
29	2.677899907
30	2.548837508
31	2.427577352
32	2.308836599
33	2.198061111
34	2.093270236
35	1.992217817
36	1.895539057
37	1.805487638
38	1.71930271
39	1.637747267
40	1.561121337
41	1.487598417
42	1.41765844
43	1.350445588
44	1.287762364
45	1.228145982
46	1.171248101
47	1.117725809
48	1.066515059
49	1.017750604
50	0.9725701822
51	0.9283110762
52	0.886812898
53	0.8478860285
54	0.81073509
55	0.7762742409
56	0.743203663
57	0.7118133209
58	0.6822341994
59	0.6543344611
60	0.6280182006
61	0.6028300903
62	0.5790772975
63	0.5568655333
64	0.536222489
65	0.516377172
66	0.4965417957
67	0.4778470707
68	0.4614868911
69	0.4453927013
70	0.4296606586
71	0.4158890441
72	0.4021546175
73	0.3904957408
74	0.3787407293
75	0.3668161016
76	0.3560653929
77	0.3455196023
78	0.3358128481
79	0.3268270492
80	0.3175253841
81	0.3100768759
82	0.3021693343
83	0.295373971
84	0.2885435709
85	0.2835788954
86	0.2778813358
87	0.2722435313
88	0.2668576128
89	0.2615705554
90	0.2567373466
91	0.2523668577
92	0.2484248455
93	0.2446842486
94	0.2413348835
95	0.2375056971
96	0.2340430095
97	0.2306975882
98	0.2279106976
99	0.2251690698
100	0.2224078414
101	0.2203871023
102	0.2182770871
103	0.2162361445
104	0.2139777324
105	0.2120440657
106	0.210345452
107	0.2082096282
108	0.2059692444
109	0.2045609909
110	0.2028394615
111	0.2012860229
112	0.1995544639
113	0.198088938
114	0.1965566194
115	0.1956209446
116	0.1942143058
117	0.1926420598
118	0.1914974314
119	0.1901535307
120	0.1892153687
121	0.1877404389
122	0.18644044
123	0.1851700156
124	0.1842018715
125	0.1832373285
126	0.1820645585
127	0.181146456
128	0.1801368409
129	0.178993123
130	0.1783318016
131	0.1774997466
132	0.1767124722
133	0.1756027129
134	0.174952455
135	0.1742871495
136	0.1735613694
137	0.1727334613
138	0.1717589842
139	0.1710165035
140	0.1705040164
141	0.1698843038
142	0.1691228184
143	0.1684281737
144	0.1677798305
145	0.1671728321
146	0.1664875986
147	0.1658983917
148	0.1653331441
149	0.1648262685
150	0.164143883
151	0.1636622775
152	0.1630888669
153	0.1625636261
154	0.1620615761
155	0.1613884157
156	0.160708629
157	0.1601775626
158	0.1597038302
159	0.1591456248
160	0.1585973713
161	0.1580872247
162	0.1574371264
163	0.1571686384
164	0.1565957904
165	0.1561220214
166	0.1556597437
167	0.1552238195
168	0.1547955688
169	0.1543992379
170	0.1538106852
171	0.153236586
172	0.1528144985
173	0.1524697643
174	0.1522623936
175	0.1519468355
176	0.1514946506
177	0.1511631588
178	0.1507444845
179	0.1504330735
180	0.1500914524
181	0.1497827755
182	0.1494320768
183	0.1489332111
184	0.1485104478
185	0.1482280039
186	0.1480332333
187	0.1475831508
188	0.1472711986
189	0.1471336252
190	0.1467057045
191	0.1464808823
192	0.146166963
193	0.145910295
194	0.1456652585
195	0.1454095098
196	0.1451285671
197	0.1448457824
198	0.1445875866
199	0.1441912741
200	0.1438433933
201	0.1437165449
202	0.1432382135
203	0.1429084923
204	0.1427176438
205	0.1425195476
206	0.1421760256
207	0.14195123
208	0.141616219
209	0.1414748047
210	0.1412692514
211	0.1410235752
212	0.1408691557
213	0.1407514878
214	0.140475018
215	0.1403090434
216	0.1400281521
217	0.1399427097
218	0.1397242644
219	0.1394526083
220	0.1392761196
221	0.138942847
222	0.1388664455
223	0.1387210666
224	0.1384755974
225	0.1382375585
226	0.1379249533
227	0.1378253915
228	0.1375847747
229	0.1374818563
230	0.1373794827
231	0.1372302088
232	0.1371127542
233	0.1369999739
234	0.1369483544
235	0.1368798815
236	0.1366149168
237	0.1363401094
238	0.1362436638
239	0.1361107716
240	0.1357522532
241	0.1355499752
242	0.1354159781
243	0.1353181804
244	0.1352173246
245	0.1351306625
246	0.134870161
247	0.1348203253
248	0.1346678351
249	0.1345733899
250	0.1341600188
251	0.1340706336
252	0.1340024256
253	0.1338721078
254	0.1336767568
255	0.1335297708
256	0.133457887
257	0.1333976918
258	0.133336912
259	0.1332157223
260	0.1331415472
261	0.1330204064
262	0.1327110687
263	0.1325294939
264	0.1323238181
265	0.1321854602
266	0.1320729112
267	0.131979629
268	0.1318855107
269	0.1317044045
270	0.1316506736
271	0.1314218197
272	0.1313516921
273	0.1313013628
274	0.1312535928
275	0.1308735519
276	0.130695421
277	0.130524553
278	0.1302819705
279	0.1300751614
280	0.1298483489
281	0.129800847
282	0.1294938421
283	0.1293872815
284	0.1293694002
285	0.1289835138
286	0.1286787583
287	0.1285847631
288	0.128491137
289	0.1282333099
290	0.1280690836
291	0.1279974211
292	0.127868538
293	0.1277752795
294	0.1277085627
295	0.1276043482
296	0.127583089
297	0.1273604152
298	0.1271565662
299	0.1270015
300	0.126922179
301	0.1268876731
302	0.1266978536
303	0.1265692037
304	0.126383151
305	0.1263090756
306	0.1260908117
307	0.1260713642
308	0.1259372833
309	0.1258976591
310	0.1258726874
311	0.1256615384
312	0.12552064
313	0.125491872
314	0.1254669606
315	0.1253126217
316	0.1252212848
317	0.1251867784
318	0.125118833
319	0.1249955147
320	0.1248328868
321	0.124628249
322	0.1245535322
323	0.1244730441
324	0.1242024643
325	0.1241061359
326	0.1239924585
327	0.123921575
328	0.1238997987
329	0.1238209758
330	0.1236905842
331	0.1234993315
332	0.1232570708
333	0.1231131106
334	0.1230788154
335	0.1229955002
336	0.1229032098
337	0.1227428504
338	0.1226764375
339	0.1226347928
340	0.1225509214
341	0.1224569212
342	0.1223462977
343	0.1222432273
344	0.1221391412
345	0.1219857843
346	0.1219266677
347	0.1217334158
348	0.1216781217
349	0.1215787789
350	0.1214998749
351	0.1212176088
352	0.1210790078
353	0.121063232
354	0.1208535459
355	0.1207107671
356	0.1206907979
357	0.120660451
358	0.1204358197
359	0.1203856269
360	0.1201174678
361	0.1199969383
362	0.1199891991
363	0.1196699321
364	0.1195308218
365	0.119482127
366	0.1194307101
367	0.119316856
368	0.1191448364
369	0.1188784419
370	0.118856017
371	0.1187139666
372	0.118650935
373	0.1184748778
374	0.1183898072
375	0.1182940533
376	0.1181416625
377	0.1180537809
378	0.1179829138
379	0.1178789644
380	0.1178015762
381	0.117537778
382	0.1173760882
383	0.1173023976
384	0.1171291258
385	0.1170570819
386	0.1169136347
387	0.1168889441
388	0.1168232444
389	0.1167591744
390	0.1165906979
