iter	Passed	Remaining
0	22	11087
1	47	11783
2	53	8915
3	76	9424
4	99	9819
5	120	9946
6	158	11165
7	184	11331
8	206	11278
9	212	10418
10	234	10423
11	259	10537
12	282	10581
13	299	10382
14	322	10431
15	344	10434
16	356	10134
17	378	10124
18	401	10157
19	447	10748
20	473	10795
21	496	10796
22	510	10590
23	535	10614
24	541	10282
25	557	10157
26	579	10146
27	595	10041
28	619	10061
29	642	10070
30	664	10050
31	688	10070
32	694	9825
33	716	9819
34	740	9832
35	756	9752
36	764	9563
37	788	9591
38	812	9599
39	837	9633
40	861	9649
41	898	9796
42	923	9809
43	929	9634
44	951	9622
45	975	9627
46	999	9637
47	1027	9675
48	1049	9663
49	1061	9553
50	1084	9545
51	1095	9437
52	1100	9278
53	1123	9277
54	1129	9136
55	1150	9123
56	1172	9110
57	1194	9101
58	1219	9112
59	1230	9022
60	1234	8887
61	1255	8868
62	1277	8861
63	1288	8775
64	1310	8770
65	1334	8772
66	1356	8764
67	1380	8771
68	1404	8774
69	1427	8770
70	1450	8761
71	1473	8756
72	1500	8775
73	1507	8676
74	1534	8694
75	1558	8692
76	1583	8697
77	1604	8682
78	1626	8668
79	1654	8685
80	1677	8679
81	1699	8665
82	1722	8652
83	1760	8718
84	1787	8729
85	1793	8635
86	1815	8619
87	1837	8604
88	1861	8594
89	1885	8591
90	1908	8577
91	1930	8563
92	1955	8556
93	1978	8546
94	2004	8546
95	2031	8548
96	2054	8537
97	2080	8535
98	2104	8524
99	2132	8529
100	2164	8550
101	2190	8548
102	2215	8539
103	2241	8536
104	2267	8528
105	2301	8553
106	2326	8546
107	2351	8535
108	2375	8520
109	2401	8513
110	2427	8505
111	2450	8488
112	2473	8471
113	2500	8465
114	2524	8453
115	2552	8450
116	2580	8447
117	2606	8437
118	2631	8425
119	2658	8420
120	2685	8411
121	2714	8409
122	2741	8403
123	2767	8392
124	2795	8387
125	2822	8377
126	2846	8361
127	2871	8345
128	2896	8329
129	2922	8317
130	2949	8307
131	2974	8291
132	2998	8273
133	3022	8255
134	3050	8248
135	3073	8226
136	3101	8218
137	3128	8205
138	3152	8188
139	3195	8216
140	3219	8197
141	3246	8184
142	3271	8166
143	3299	8158
144	3325	8142
145	3351	8125
146	3375	8106
147	3399	8084
148	3423	8064
149	3448	8045
150	3471	8023
151	3497	8006
152	3536	8021
153	3564	8009
154	3588	7987
155	3612	7966
156	3635	7942
157	3659	7921
158	3683	7899
159	3706	7877
160	3728	7849
161	3751	7826
162	3773	7801
163	3798	7781
164	3838	7792
165	3863	7772
166	3886	7750
167	3911	7730
168	3934	7706
169	3958	7684
170	3982	7662
171	4006	7640
172	4028	7614
173	4051	7591
174	4075	7568
175	4097	7543
176	4120	7518
177	4142	7493
178	4165	7469
179	4188	7446
180	4210	7421
181	4232	7394
182	4256	7373
183	4297	7380
184	4324	7363
185	4349	7342
186	4372	7318
187	4397	7297
188	4421	7274
189	4445	7252
190	4470	7232
191	4495	7211
192	4517	7185
193	4540	7161
194	4566	7142
195	4591	7121
196	4613	7096
197	4636	7071
198	4659	7047
199	4682	7023
200	4708	7003
201	4733	6982
202	4757	6960
203	4781	6937
204	4803	6911
205	4829	6892
206	4867	6890
207	4890	6866
208	4911	6838
209	4933	6813
210	4958	6790
211	4982	6769
212	5004	6743
213	5028	6719
214	5050	6694
215	5076	6674
216	5099	6650
217	5123	6627
218	5147	6604
219	5171	6581
220	5195	6559
221	5221	6539
222	5244	6514
223	5269	6492
224	5293	6470
225	5320	6450
226	5342	6425
227	5367	6403
228	5389	6378
229	5412	6354
230	5435	6329
231	5455	6302
232	5479	6278
233	5500	6252
234	5522	6227
235	5543	6201
236	5569	6179
237	5592	6155
238	5619	6136
239	5641	6111
240	5663	6086
241	5683	6059
242	5704	6033
243	5726	6007
244	5748	5983
245	5772	5960
246	5795	5936
247	5820	5914
248	5843	5890
249	5869	5869
250	5892	5845
251	5916	5822
252	5956	5815
253	5981	5793
254	6017	5781
255	6042	5759
256	6065	5734
257	6093	5715
258	6118	5693
