iter	RMSE
0	11.4621717
1	10.90160507
2	10.36055143
3	9.854118997
4	9.36535999
5	8.8994155
6	8.466549728
7	8.046538711
8	7.647601957
9	7.273456181
10	6.919173223
11	6.587130677
12	6.264562781
13	5.966269196
14	5.669983517
15	5.395770666
16	5.130426764
17	4.879510976
18	4.640118868
19	4.412723892
20	4.19862567
21	3.991089148
22	3.799000879
23	3.611197211
24	3.436960729
25	3.273987573
26	3.114869822
27	2.961973783
28	2.817488709
29	2.68001906
30	2.549331422
31	2.424360069
32	2.307932686
33	2.197547577
34	2.093253344
35	1.992649235
36	1.897050362
37	1.805037358
38	1.719027507
39	1.637410064
40	1.558916751
41	1.484379204
42	1.414193697
43	1.348234057
44	1.283928477
45	1.224158781
46	1.166614299
47	1.112819216
48	1.061124172
49	1.012804616
50	0.9666545835
51	0.9230542582
52	0.8819840913
53	0.8420719144
54	0.8052121112
55	0.7690131897
56	0.7356591133
57	0.7038814848
58	0.6736147062
59	0.6457413018
60	0.619765596
61	0.5943804226
62	0.5699550101
63	0.5474145727
64	0.5265548734
65	0.5064716808
66	0.4872728117
67	0.4696718175
68	0.4528381349
69	0.4369154886
70	0.4219942402
71	0.407610566
72	0.3943139962
73	0.3811080888
74	0.3683342413
75	0.3567759359
76	0.3463106096
77	0.3366996912
78	0.3268497354
79	0.3177678634
80	0.3089328389
81	0.3013959779
82	0.2938238621
83	0.2871524311
84	0.2797901617
85	0.2739721065
86	0.2685534902
87	0.2633050314
88	0.2579106694
89	0.2523692452
90	0.2476948873
91	0.2435181139
92	0.2394184602
93	0.235595855
94	0.231896347
95	0.2286278249
96	0.2253087772
97	0.2223411657
98	0.2190938016
99	0.2162037983
100	0.2133379806
101	0.2107108475
102	0.2081480572
103	0.2055813396
104	0.2035850599
105	0.201930278
106	0.2003564774
107	0.198338248
108	0.196570274
109	0.1948313111
110	0.1933288614
111	0.1920666187
112	0.1908427435
113	0.1893047864
114	0.187977926
115	0.1868248018
116	0.1855311132
117	0.1846267035
118	0.1835296449
119	0.1824542582
120	0.181485235
