iter	Passed	Remaining
0	20	10221
1	40	10171
2	52	8695
3	74	9250
4	86	8527
5	91	7504
6	113	8000
7	124	7658
8	134	7337
9	159	7824
10	184	8219
11	209	8534
12	233	8743
13	256	8900
14	262	8488
15	285	8632
16	303	8634
17	327	8764
18	351	8887
19	374	8994
20	398	9084
21	413	8989
22	437	9065
23	443	8804
24	465	8838
25	487	8883
26	510	8945
27	528	8907
28	545	8854
29	561	8802
30	577	8732
31	581	8511
32	603	8536
33	625	8577
34	647	8606
35	672	8668
36	696	8711
37	701	8534
38	733	8671
39	757	8716
40	774	8668
41	785	8567
42	807	8580
43	832	8626
44	843	8524
45	866	8554
46	879	8476
47	903	8511
48	910	8383
49	934	8407
50	958	8437
51	980	8451
52	1004	8469
53	1015	8383
54	1036	8385
55	1054	8359
56	1071	8326
57	1094	8343
58	1118	8362
59	1142	8379
60	1167	8404
61	1191	8420
62	1216	8440
63	1238	8437
64	1260	8438
65	1282	8435
66	1307	8448
67	1314	8349
68	1335	8342
69	1357	8338
70	1383	8358
71	1409	8378
72	1436	8401
73	1459	8400
74	1483	8406
75	1512	8440
76	1539	8457
77	1564	8463
78	1588	8462
79	1612	8463
80	1634	8457
81	1656	8444
82	1683	8456
83	1706	8449
84	1727	8436
85	1738	8366
86	1771	8411
87	1794	8400
88	1815	8384
89	1838	8376
90	1859	8357
91	1882	8348
92	1905	8339
93	1932	8347
94	1955	8337
95	1972	8299
96	1995	8288
97	2014	8261
98	2035	8246
99	2065	8261
100	2087	8247
101	2116	8256
102	2139	8245
103	2161	8230
104	2187	8227
105	2208	8209
106	2226	8178
107	2248	8161
108	2269	8141
109	2292	8126
110	2314	8112
111	2337	8097
112	2367	8108
113	2392	8102
114	2419	8099
115	2444	8093
116	2468	8081
117	2491	8065
118	2528	8095
119	2552	8081
120	2583	8092
121	2606	8076
122	2628	8057
123	2651	8040
124	2677	8031
125	2700	8016
126	2723	7998
127	2746	7982
128	2782	8002
129	2806	7986
130	2830	7971
131	2853	7956
132	2877	7940
133	2901	7925
134	2926	7911
135	2950	7897
136	2975	7884
137	2999	7869
138	3021	7846
139	3043	7825
140	3068	7811
141	3092	7796
142	3114	7775
143	3137	7757
144	3159	7736
145	3183	7720
146	3206	7700
147	3229	7680
148	3251	7660
149	3274	7640
150	3297	7621
