iter	RMSE
0	11.43380368
1	10.88069956
2	10.34073595
3	9.832180696
4	9.35006837
5	8.900289663
6	8.466693667
7	8.045567944
8	7.654960434
9	7.28285428
10	6.92227251
11	6.578229667
12	6.260535029
13	5.950390472
14	5.661165795
15	5.381586493
16	5.122774064
17	4.871830535
18	4.630359681
19	4.404927958
20	4.190089093
21	3.983336312
22	3.789102037
23	3.604506393
24	3.429144767
25	3.263085673
26	3.105844031
27	2.954749332
28	2.809671247
29	2.674630358
30	2.547475696
31	2.42346966
32	2.306817292
33	2.197408674
34	2.09160155
35	1.991689534
36	1.896530893
37	1.805643327
38	1.720663217
39	1.638906023
40	1.561401227
41	1.486681648
42	1.417109352
43	1.351040874
44	1.288221172
45	1.229616078
46	1.173745822
47	1.119050827
48	1.067009324
49	1.018051455
50	0.9721567508
51	0.9282609562
52	0.8866681592
53	0.8470774387
54	0.8098295406
55	0.7744561545
56	0.7406718031
57	0.7093181397
58	0.679593934
59	0.6512894629
60	0.6249763638
61	0.5998425766
62	0.575714172
63	0.5532680757
64	0.5321274115
65	0.5122740793
66	0.4934724873
67	0.4743379521
68	0.4575532988
69	0.4416172427
70	0.4258590017
71	0.4117702694
72	0.3978565175
73	0.3859538889
74	0.3733102334
75	0.361689167
76	0.350574009
77	0.3401987808
78	0.3311137142
79	0.3219749276
80	0.3134293925
81	0.3059009043
82	0.2985040613
83	0.2919241621
84	0.2853917213
85	0.2792092497
86	0.2733704493
87	0.268205384
88	0.2631880912
89	0.2585261734
90	0.2536508016
91	0.2496528477
92	0.2453672971
93	0.2420915187
94	0.2384512331
95	0.2356318627
96	0.2325914571
97	0.2294911874
98	0.2267419047
99	0.2242561922
100	0.2220198661
101	0.2193064817
102	0.2168980824
103	0.2142922826
104	0.2123315908
105	0.2101848763
106	0.2085798293
107	0.2069018152
108	0.2044260178
109	0.2030113929
110	0.2014769023
111	0.2002107351
112	0.1987611417
113	0.1974113609
114	0.1964042743
115	0.1948318912
116	0.1930428275
117	0.191736875
118	0.1905376234
119	0.1894600557
120	0.1881052453
