iter	Passed	Remaining
0	13	6796
1	30	7646
2	32	5348
3	52	6516
4	64	6350
5	84	6993
6	95	6702
7	116	7180
8	140	7658
9	163	7997
10	184	8215
11	206	8383
12	211	7938
13	238	8269
14	261	8455
15	282	8556
16	293	8328
17	315	8447
18	339	8586
19	361	8687
20	384	8765
21	406	8835
22	430	8928
23	453	8988
24	468	8905
25	481	8775
26	505	8848
27	511	8615
28	531	8639
29	552	8663
30	579	8768
31	604	8845
32	634	8980
33	657	9012
34	679	9024
35	698	9008
36	721	9025
37	746	9073
38	770	9108
39	792	9119
40	814	9122
41	838	9144
42	860	9144
43	883	9160
44	904	9149
45	927	9157
46	945	9110
47	965	9094
48	971	8942
49	996	8966
50	1021	8996
51	1044	8997
52	1055	8902
53	1077	8901
54	1101	8911
55	1125	8923
56	1151	8946
57	1175	8955
58	1198	8955
59	1232	9039
60	1259	9061
61	1282	9057
62	1304	9050
63	1316	8966
64	1337	8951
65	1361	8950
66	1384	8949
67	1409	8956
68	1433	8951
69	1458	8956
70	1485	8974
71	1511	8984
72	1534	8977
73	1557	8967
74	1579	8951
75	1602	8938
76	1625	8931
77	1648	8916
78	1669	8899
79	1690	8875
80	1712	8856
81	1735	8849
82	1749	8791
83	1772	8775
84	1794	8763
85	1815	8741
86	1836	8715
87	1856	8692
88	1879	8680
89	1903	8671
90	1928	8666
91	1951	8655
92	1974	8642
93	2005	8660
94	2030	8657
95	2053	8643
96	2090	8684
97	2115	8676
98	2139	8664
99	2161	8647
100	2185	8632
101	2206	8610
102	2230	8599
103	2258	8600
104	2282	8585
105	2305	8570
106	2330	8558
107	2351	8536
108	2374	8516
109	2398	8504
110	2423	8491
111	2443	8464
112	2464	8441
113	2488	8424
114	2514	8417
115	2538	8403
116	2563	8391
117	2584	8367
118	2606	8345
119	2630	8329
120	2653	8311
121	2675	8290
122	2697	8267
123	2720	8250
124	2746	8239
125	2775	8239
126	2799	8223
127	2823	8206
128	2848	8191
129	2872	8175
130	2897	8162
131	2922	8148
132	2947	8134
133	2972	8118
134	2999	8109
135	3026	8099
136	3052	8089
137	3077	8074
138	3101	8056
139	3125	8038
140	3151	8023
141	3177	8009
142	3202	7994
143	3227	7978
144	3253	7965
145	3281	7956
146	3307	7943
147	3333	7927
148	3357	7909
149	3382	7893
150	3408	7876
151	3433	7860
152	3458	7843
153	3482	7825
154	3510	7814
155	3536	7798
156	3562	7782
157	3588	7768
158	3615	7752
159	3639	7734
160	3664	7715
161	3687	7693
162	3710	7670
163	3732	7647
164	3756	7626
165	3783	7612
166	3807	7591
167	3828	7566
168	3849	7539
169	3870	7513
170	3892	7488
171	3914	7464
172	3937	7442
173	3959	7418
174	3983	7397
175	4008	7378
176	4034	7362
177	4055	7336
178	4077	7311
179	4100	7290
180	4124	7268
181	4147	7247
182	4173	7229
183	4197	7208
184	4222	7189
185	4245	7166
186	4272	7151
187	4299	7135
188	4323	7114
189	4348	7094
190	4371	7071
191	4394	7049
192	4417	7026
193	4440	7004
194	4463	6980
195	4486	6958
196	4507	6933
197	4533	6914
198	4555	6890
199	4578	6867
200	4614	6864
201	4637	6841
202	4659	6817
203	4682	6793
204	4704	6769
205	4725	6743
206	4747	6719
207	4774	6702
208	4797	6679
209	4819	6655
210	4840	6629
211	4861	6603
212	4883	6580
213	4905	6556
214	4930	6535
215	4953	6512
216	4976	6489
217	5001	6470
218	5028	6452
219	5053	6431
220	5076	6408
221	5099	6386
222	5122	6363
223	5147	6342
224	5174	6323
225	5197	6301
226	5219	6277
227	5242	6253
228	5277	6245
229	5300	6222
230	5324	6200
231	5346	6176
232	5368	6152
233	5391	6128
234	5415	6107
235	5437	6082
236	5460	6059
237	5483	6036
238	5510	6017
239	5536	5997
240	5558	5973
241	5581	5950
242	5604	5927
243	5625	5902
244	5646	5877
245	5670	5854
246	5694	5833
247	5722	5814
248	5744	5790
249	5767	5767
250	5793	5747
251	5819	5727
252	5841	5703
253	5865	5680
254	5888	5657
255	5913	5635
256	5939	5615
257	5962	5593
258	5985	5569
259	6008	5546
260	6035	5527
261	6059	5504
262	6084	5483
263	6107	5459
264	6130	5436
265	6153	5413
266	6179	5392
267	6204	5370
268	6227	5348
269	6249	5323
270	6271	5299
271	6303	5284
272	6329	5262
273	6353	5240
274	6377	5217
275	6402	5196
276	6427	5174
277	6453	5153
278	6478	5131
279	6502	5108
280	6528	5087
281	6553	5065
282	6575	5041
283	6599	5019
284	6621	4994
285	6644	4971
286	6666	4947
287	6688	4923
288	6712	4900
289	6736	4878
290	6760	4855
291	6784	4832
292	6809	4810
293	6830	4786
294	6852	4761
