iter	RMSE
0	11.43354963
1	10.86967814
2	10.33598859
3	9.828575994
4	9.347332703
5	8.884952947
6	8.450597182
7	8.041348318
8	7.646866956
9	7.27251852
10	6.921487407
11	6.582424606
12	6.258450951
13	5.947592702
14	5.657278806
15	5.381743823
16	5.118756696
17	4.869899595
18	4.632756675
19	4.405893802
20	4.189386201
21	3.98884213
22	3.793922489
23	3.607964871
24	3.432095423
25	3.263981981
26	3.105742807
27	2.955737594
28	2.810823866
29	2.672663465
30	2.541788213
31	2.418983423
32	2.302632185
33	2.191866966
34	2.085306633
35	1.983598153
36	1.888597301
37	1.797090399
38	1.711666788
39	1.630712054
40	1.552404409
41	1.478371503
42	1.40891318
43	1.343025168
44	1.281311433
45	1.22223241
46	1.166293364
47	1.113034591
48	1.061511816
49	1.014055292
50	0.9681997915
51	0.9242481209
52	0.8830242693
53	0.8438536075
54	0.8067623747
55	0.7716396256
56	0.7372963447
57	0.7063523737
58	0.6764071958
59	0.6477317474
60	0.6208888091
61	0.5958301811
62	0.5722944201
63	0.5494047708
64	0.5281103253
65	0.5078460096
66	0.4883195336
67	0.4702946557
68	0.4534071676
69	0.43751522
70	0.4217556503
71	0.4081122758
72	0.3945451613
73	0.3819436786
74	0.3703435395
75	0.358729996
76	0.3476323324
77	0.3378658163
78	0.3276844533
79	0.3189977946
80	0.3100408599
81	0.3018347733
82	0.2947682012
83	0.2874059314
84	0.2807343658
85	0.2748569227
86	0.2689406324
87	0.262422364
88	0.2576315452
89	0.2525021985
90	0.2479791774
91	0.2437566307
92	0.2394936767
93	0.2354366964
94	0.2315439962
95	0.2283871122
96	0.2252363942
97	0.2220281787
98	0.2188891738
99	0.2162578327
100	0.2138945693
101	0.2114485752
102	0.2090742276
103	0.2067498765
104	0.2042764146
105	0.2020026513
106	0.2004395118
107	0.1986289814
108	0.1966794767
109	0.1949758921
110	0.1934594689
111	0.1918450357
112	0.190357007
113	0.1890238499
114	0.1877920562
115	0.1866615218
116	0.185425462
117	0.1838029575
118	0.1826284402
119	0.1819480048
120	0.1808250521
121	0.1797770375
122	0.1786910036
123	0.1777609715
124	0.1764576807
125	0.1754530599
126	0.1747327344
127	0.1738228516
128	0.1730132128
129	0.1722493666
130	0.1714911679
131	0.170402981
132	0.1697097145
133	0.1689268534
134	0.1678270621
135	0.1668243746
136	0.1662958139
137	0.1655517641
138	0.164715406
139	0.1638627154
140	0.1630603633
141	0.1623226165
142	0.1616309545
143	0.1612131475
144	0.1605529913
145	0.159824051
146	0.1590599242
147	0.1586575554
148	0.1578999141
149	0.157315836
150	0.1566807739
151	0.1558178574
152	0.1552041126
153	0.1547525139
154	0.1540994251
155	0.1537379398
156	0.1534146788
157	0.1528236182
158	0.1523466844
159	0.1518525017
160	0.1511863988
161	0.1505985272
162	0.1501611475
163	0.1497770926
164	0.149332498
165	0.1491896878
166	0.1488081878
167	0.1483187982
168	0.147577398
169	0.1470434848
170	0.1466514666
171	0.1456374519
172	0.1452357595
173	0.144627496
174	0.1441850087
175	0.1434997433
176	0.1428327312
177	0.1422901031
178	0.1419618151
179	0.1416039749
180	0.1411507469
181	0.1408549364
182	0.1406513912
183	0.140223446
184	0.1397679145
185	0.1394936943
186	0.1392903718
187	0.1388786663
188	0.138773397
189	0.138384541
190	0.1382602258
191	0.1380826103
192	0.1376488961
193	0.1372927178
194	0.1369223729
195	0.1365684773
196	0.1362755028
197	0.135787686
198	0.1354161366
199	0.1350196431
200	0.1347382343
201	0.1344651365
202	0.1342349643
203	0.1339897161
204	0.1337124402
205	0.1335582825
206	0.1332037244
207	0.1331236813
208	0.132978881
209	0.1329028742
210	0.132606481
211	0.1323730634
212	0.1320865134
213	0.1317640845
214	0.1315516296
215	0.1314792645
216	0.131138863
217	0.1308534778
218	0.1307835169
219	0.1304376263
220	0.1302883248
221	0.1299687388
222	0.1297293154
223	0.1293926345
224	0.1292445591
225	0.1289926852
226	0.1288930886
227	0.1286968047
228	0.1285477641
229	0.128464107
230	0.1281371471
231	0.1278671658
232	0.127538104
233	0.1272817641
234	0.1271643984
