iter	Passed	Remaining
0	23	11800
1	38	9682
2	62	10304
3	86	10758
4	113	11198
5	130	10733
6	154	10877
7	177	10928
8	200	10926
9	223	10934
10	251	11185
11	274	11182
12	298	11170
13	304	10565
14	326	10568
15	349	10585
16	373	10605
17	396	10620
18	419	10629
19	441	10603
20	458	10460
21	482	10476
22	509	10558
23	527	10463
24	550	10468
25	572	10445
26	595	10430
27	619	10451
28	637	10359
29	648	10166
30	659	9974
31	681	9973
32	703	9962
33	728	9979
34	739	9825
35	750	9668
36	788	9864
37	794	9656
38	848	10034
39	872	10032
40	878	9834
41	889	9702
42	914	9716
43	939	9732
44	961	9720
45	984	9719
46	1024	9876
47	1054	9931
48	1082	9963
49	1112	10011
50	1136	10004
51	1160	10002
52	1178	9936
53	1188	9819
54	1211	9799
55	1217	9652
56	1240	9639
57	1266	9653
58	1293	9669
59	1317	9662
60	1341	9656
61	1365	9643
62	1389	9638
63	1412	9623
64	1436	9614
65	1459	9599
66	1484	9594
67	1507	9578
68	1521	9502
69	1545	9494
70	1587	9591
71	1612	9585
72	1653	9671
73	1679	9665
74	1696	9615
75	1727	9636
76	1749	9612
77	1776	9611
78	1801	9602
79	1825	9582
80	1849	9565
81	1886	9616
82	1912	9606
83	1936	9589
84	1959	9565
85	1983	9546
86	2006	9524
87	2033	9519
88	2059	9508
89	2099	9565
90	2123	9544
91	2148	9529
92	2171	9504
93	2196	9487
94	2220	9465
95	2242	9436
96	2265	9412
97	2292	9405
98	2317	9388
99	2335	9343
100	2371	9366
101	2401	9369
102	2428	9358
103	2452	9339
104	2477	9320
105	2516	9354
106	2545	9348
107	2587	9393
108	2611	9368
109	2636	9347
110	2654	9303
111	2679	9281
112	2703	9258
113	2730	9243
114	2755	9224
115	2781	9207
116	2808	9193
117	2832	9170
118	2857	9148
119	2881	9123
120	2906	9104
121	2932	9084
122	2957	9066
123	2979	9035
124	3004	9012
125	3027	8985
126	3055	8975
127	3079	8949
128	3102	8922
129	3123	8891
130	3146	8863
131	3172	8845
132	3198	8826
133	3222	8801
134	3247	8778
135	3270	8754
136	3299	8743
137	3325	8724
138	3350	8701
139	3374	8676
140	3397	8650
141	3422	8629
142	3447	8607
143	3470	8580
144	3496	8560
145	3520	8535
146	3547	8518
147	3580	8516
148	3614	8515
149	3638	8489
150	3663	8468
151	3687	8442
152	3712	8418
153	3733	8388
154	3755	8358
155	3777	8330
156	3809	8322
157	3831	8293
158	3857	8272
159	3880	8245
160	3903	8218
161	3930	8199
162	3954	8175
163	3978	8152
164	4001	8124
165	4029	8107
166	4053	8083
167	4077	8058
168	4102	8035
169	4125	8009
170	4148	7982
171	4174	7960
172	4199	7937
173	4223	7912
174	4246	7886
175	4275	7870
176	4317	7878
177	4342	7855
178	4366	7830
179	4391	7807
180	4416	7784
181	4442	7761
182	4467	7738
183	4492	7716
184	4517	7691
185	4541	7666
186	4569	7647
187	4594	7625
188	4617	7598
189	4642	7574
190	4664	7546
191	4688	7520
192	4712	7496
193	4735	7469
194	4757	7441
195	4780	7414
196	4808	7395
197	4832	7371
198	4855	7343
199	4878	7317
200	4941	7351
201	5002	7379
202	5039	7373
203	5087	7382
204	5119	7366
205	5156	7358
206	5187	7342
207	5239	7355
208	5261	7325
209	5284	7297
210	5321	7288
211	5349	7267
212	5375	7243
213	5398	7215
214	5423	7189
215	5447	7161
216	5473	7138
217	5499	7113
218	5529	7094
219	5553	7068
220	5579	7044
221	5606	7021
222	5632	6996
223	5654	6967
224	5678	6939
225	5703	6914
226	5726	6887
227	5748	6857
228	5767	6824
229	5787	6794
230	5808	6764
231	5833	6738
232	5857	6711
233	5879	6683
234	5904	6658
235	5927	6631
236	5952	6605
237	5974	6576
238	6009	6562
239	6033	6536
240	6055	6508
241	6079	6480
242	6110	6462
243	6134	6436
244	6160	6411
245	6184	6385
246	6208	6359
247	6232	6332
248	6259	6309
249	6285	6285
250	6312	6262
251	6340	6239
252	6367	6216
253	6390	6188
254	6415	6163
255	6439	6137
256	6465	6113
257	6492	6089
258	6516	6063
259	6542	6039
260	6566	6013
261	6590	5986
262	6617	5963
263	6641	5936
264	6665	5910
265	6688	5883
266	6714	5859
267	6738	5833
268	6763	5807
269	6785	5779
270	6808	5753
271	6832	5727
272	6859	5703
273	6880	5675
274	6902	5647
275	6926	5621
276	6949	5594
277	6973	5568
278	6997	5542
279	7019	5515
280	7059	5501
281	7084	5476
282	7110	5452
283	7135	5426
284	7159	5401
285	7184	5375
286	7209	5350
287	7235	5325
288	7261	5301
289	7299	5285
290	7324	5260
291	7351	5236
292	7375	5210
293	7399	5184
294	7421	5157
295	7445	5131
296	7471	5106
297	7493	5079
298	7534	5065
299	7558	5039
300	7584	5014
301	7616	4993
302	7641	4968
303	7663	4940
304	7686	4914
305	7710	4888
306	7734	4862
307	7757	4836
308	7785	4812
309	7809	4786
310	7834	4761
311	7861	4737
312	7887	4712
313	7912	4687
314	7938	4662
315	7962	4636
316	7989	4612
317	8014	4586
318	8038	4561
319	8063	4535
320	8090	4511
321	8115	4486
322	8139	4460
323	8162	4433
324	8186	4408
325	8211	4382
326	8234	4356
327	8261	4332
328	8284	4306
329	8311	4281
330	8334	4255
331	8361	4230
332	8386	4205
333	8410	4180
334	8435	4154
335	8459	4129
336	8485	4104
337	8510	4078
338	8531	4051
339	8552	4024
340	8575	3998
341	8601	3973
342	8629	3949
343	8651	3923
344	8671	3895
345	8693	3869
346	8717	3843
347	8741	3818
348	8765	3792
349	8788	3766
350	8809	3739
351	8831	3713
352	8854	3687
353	8878	3661
354	8900	3635
355	8923	3609
356	8945	3583
357	8968	3557
358	8988	3530
359	9010	3504
360	9033	3478
361	9055	3452
362	9079	3426
363	9102	3400
364	9126	3375
365	9149	3349
366	9203	3335
367	9224	3308
368	9245	3282
369	9264	3255
370	9286	3228
371	9307	3202
372	9328	3176
373	9351	3150
374	9378	3126
375	9402	3100
376	9426	3075
377	9449	3049
378	9472	3024
379	9494	2998
380	9530	2976
381	9552	2950
382	9574	2924
383	9599	2899
384	9624	2874
385	9646	2848
386	9670	2823
387	9694	2798
388	9715	2772
389	9738	2746
390	9759	2720
391	9783	2695
392	9804	2669
393	9825	2643
394	9847	2617
395	9871	2592
396	9894	2567
397	9916	2541
398	9939	2515
399	9960	2490
400	9982	2464
401	10007	2439
402	10032	2414
403	10061	2390
404	10082	2364
405	10101	2338
406	10125	2313
407	10146	2288
408	10168	2262
409	10189	2236
410	10213	2211
411	10236	2186
412	10258	2161
413	10281	2135
414	10303	2110
415	10324	2084
416	10345	2059
417	10368	2034
418	10394	2009
419	10417	1984
420	10438	1958
421	10461	1933
422	10484	1908
423	10505	1883
424	10529	1858
425	10558	1834
426	10581	1808
427	10604	1783
428	10628	1759
429	10653	1734
430	10676	1709
431	10716	1686
432	10740	1661
433	10763	1636
434	10785	1611
435	10807	1586
436	10831	1561
437	10854	1536
438	10881	1511
439	10905	1487
440	10928	1462
441	10950	1436
442	10973	1411
443	10994	1386
444	11018	1361
445	11047	1337
446	11070	1312
447	11092	1287
448	11115	1262
449	11143	1238
450	11166	1213
451	11189	1188
452	11213	1163
453	11236	1138
454	11261	1113
455	11286	1089
456	11311	1064
457	11339	1039
458	11364	1015
459	11395	990
460	11422	966
461	11446	941
